Index,ID,Speaker,Phase,TimePhase,Role,Japanese,English,Functions,Aesthetics,User,Vision,Prototyping,CA,ALoK,CSU,GCA,Projective,Regulative,Relational
2,P2,PA,1,1,ProductDesigner,え、これ、ユーザーを、あのー、●質問とかしてもいいんですか。,"Well, is it okay if we, uh, ask the user, uh, ● a question or something?",0,0,1,0,0,1,0,0,0,0,0,0
4,P4,PA,1,1,ProductDesigner,分かりました。,I understand.,0,0,1,0,0,0,1,0,0,0,0,0
5,P5,User,1,1,ProductDesigner,〓User〓さんでいい●。,Please call me User-san.,0,0,1,0,0,0,1,0,0,0,0,0
6,P6,PA,1,1,ProductDesigner,●分かりました。カッターマット1個でいっか。2個出しとく？,I understand. Shall I take a cutter mat out two?,0,0,0,0,1,0,1,0,0,1,0,1
7,P7,PC,1,1,ProductDesigner,もし●取りあえず●出して●。,If you ● take it out and ● put it out for the time being.,0,0,0,0,1,0,1,0,0,1,0,0
8,P8,PA,1,1,ProductDesigner,●Userさんはお幾つなんですか。,How old is the User?,0,0,1,0,0,0,1,0,0,0,0,0
9,P9,User,1,1,ProductDesigner,35歳です。,35 years old.,0,0,1,0,0,0,1,0,0,0,0,0
10,P10,PA,1,1,ProductDesigner,えー、何か若い。いや、何か、失礼かもしれないですけど、童顔かなって思います●。,"Well, something young. Well, I don't mean to be rude, but I think the user has a childish face.",0,0,1,0,0,0,1,0,0,0,0,0
11,P11,User,1,1,ProductDesigner,あの、大学の事務局に行くときに、ちょっと入んないでくださいって●怒られたことが多々ある。,"You know, when I go to the university office, I've often been told ● not to go in there.",0,0,1,0,0,0,1,0,0,0,0,0
12,P12,PA,1,1,ProductDesigner,えー、学生に。えー。やっぱ、じゃあ、ね、●。若いなと思って●。,"Eh, it looks like students. Eh. I knew it, then, you know, ●. I thought you were young, so ●.",0,0,1,0,0,0,1,0,0,0,0,0
13,P13,PB,1,1,ProductDesigner,若い●。,Young ●.,0,0,1,0,0,0,1,0,0,0,0,0
14,P14,User,1,1,ProductDesigner,ありがとうございます。,Thank you very much.,0,0,1,0,0,0,1,0,0,0,0,0
15,P15,PB,1,1,ProductDesigner,いいな。,I like it.,0,0,1,0,0,0,1,0,0,0,0,0
16,P16,PA,1,1,ProductDesigner,何か、何が好きとかあります？,"Do you have any, or what do you like?",0,0,1,0,0,0,1,0,0,0,0,0
17,P17,User,1,1,ProductDesigner,何が好き？,"""What do you like?""",0,0,1,0,0,0,1,0,0,0,0,0
18,P18,PA,1,1,ProductDesigner,何、何か音楽とか映画とか、どういうのを聞いたりとか見たりしますか。,What kind of music or movies do you listen to or watch?,0,0,1,0,0,0,1,0,0,0,0,0
19,P19,User,1,1,ProductDesigner,何だろう。音楽は洋楽。,Well... Music is Western Music.,0,0,1,0,0,0,1,0,0,0,0,0
20,P20,PA,1,1,ProductDesigner,洋楽聞くんじゃなかったですか。,I thought you listens to Western music.,0,0,1,0,0,0,1,0,0,0,0,1
21,P21,PC,1,1,ProductDesigner,洋楽あんま聞かないよ、俺。,I don't listen to much Western music.,0,0,1,0,0,0,1,0,0,0,0,0
22,P22,PA,1,1,ProductDesigner,あれ？ もう、私はもうミーハーなんで、エド・シーランとかしか分かんないですけど。,"Huh? I'm already a meek person, so I only know Ed Sheeran and the like.",0,0,1,0,0,0,1,0,0,0,0,0
23,P23,User,1,1,ProductDesigner,あー、メジャー。メジャーなところですよね。,"Ah, major. It's a major music.",0,0,1,0,0,0,1,0,0,0,0,0
24,P24,PA,1,1,ProductDesigner,メジャーな●。それしか知らない。,Major ●. That's all I know.,0,0,1,0,0,0,1,0,0,0,0,0
25,P25,User,1,1,ProductDesigner,ま、でも、ケイティ・ペリーとか。,"Well, but Katy Perry, for example.",0,0,1,0,0,0,1,0,0,0,0,0
26,P26,PA,1,1,ProductDesigner,あー、はいはい、はいはい。,"Uh, yes, yes, yes.",0,0,1,0,0,0,1,0,0,0,0,0
27,P27,User,1,1,ProductDesigner,同様のメジャーどころだとテイラー・スウィフトとか。,A similar major player would be Taylor Swift.,0,0,1,0,0,0,1,0,0,0,0,0
28,P28,PA,1,1,ProductDesigner,あー、いいですね。●雑誌とか読まれますか。,"Oh, that's nice. Do you read magazines or something?",0,0,1,0,0,0,1,0,0,0,0,0
29,P29,User,1,1,ProductDesigner,雑誌。そうですね、読みます。,"Magazines. Yes, I read it.",0,0,1,0,0,0,1,0,0,0,0,0
30,P30,PA,1,1,ProductDesigner,何を読みますか。,What do you read?,0,0,1,0,0,0,1,0,0,0,0,0
31,P31,User,1,1,ProductDesigner,え、一番よく読むのは『PRESIDENT』とか。,"Eh, I read ""PRESIDENT"" most often.",0,0,1,0,0,0,1,0,0,0,0,0
32,P32,PA,1,1,ProductDesigner,あー。へー、そっち。意外。ファッション雑誌とかは読む●。,"Ah. Oh, that way. Surprising. Do you read fashion magazines?",0,0,1,0,0,0,1,0,0,0,0,0
33,P33,User,1,1,ProductDesigner,ファッション雑誌も読みます。,I also read fashion magazines.,0,0,1,0,0,0,1,0,0,0,0,0
34,P34,PA,1,1,ProductDesigner,ファッション雑誌、どの辺読みますか●。,Which fashion magazines do you read?,0,0,1,0,0,0,1,0,0,0,0,0
35,P35,User,1,1,ProductDesigner,ファッション雑誌……。あんまり雑誌の名前は覚えてないのと。何だっけ、何か、何だろう、何か、何だろう。,"Fashion magazine ....... I don't really remember the name of the magazine and. I don't know what it was, what it was, what it was, what it was.",0,0,1,0,0,0,1,0,0,0,0,0
36,P36,PA,1,1,ProductDesigner,モデルは日本人ですか。,Is the model Japanese?,0,0,1,0,0,0,1,0,0,0,0,0
37,P37,User,1,1,ProductDesigner,あ、はい。あの、日本人の人が表紙のモデルを。,"Ah, yes. Um, a Japanese person modeled for the cover.",0,0,1,0,0,0,1,0,0,0,0,0
38,P38,PA,1,1,ProductDesigner,何だろう。『MORE』●とか『KELLy』●。,"What is it? MORE"" ● or ""KELLy"" ●.",0,0,1,0,0,0,1,0,0,0,0,0
39,P39,PB,1,1,ProductDesigner,分かんない。,I'm not sure.,0,0,1,0,0,0,1,0,0,0,0,0
40,P40,PA,1,1,ProductDesigner,●。そう。『FUDGE』とかでしょ？,"●. Yes. Like ""FUDGE,"" right?",0,0,1,0,0,0,1,0,0,0,0,0
41,P41,PB,1,1,ProductDesigner,『FUDGE』とか●。,"FUDGE"" and so on.",0,0,1,0,0,0,1,0,0,0,0,0
43,P43,PA,1,1,ProductDesigner,あ、はい、ありがとうございます。,"Ah, yes, thank you.",0,0,1,0,0,0,1,0,0,0,0,0
44,P44,PC,1,1,ProductDesigner,ありがとうございます。,Thank you very much.,0,0,1,0,0,0,1,0,0,0,0,0
45,P45,User,1,1,ProductDesigner,雑誌の名前。難しいな。,Name of magazine... It's difficult.,0,0,1,0,0,0,1,0,0,0,0,0
46,P46,PA,1,1,ProductDesigner,好きな、何か、服のブランドとかは、ちなみにありますか。,Do you have a favorite brand of clothing?,0,0,1,0,0,0,1,0,0,0,0,0
47,P47,User,1,1,ProductDesigner,好きな服のブランド……。,Favorite clothing brand: .......,0,0,1,0,0,0,1,0,0,0,0,0
48,P48,PB,1,1,ProductDesigner,知りたいですね。,I would like to know.,0,0,1,0,0,1,1,0,0,0,0,0
49,P49,PA,1,1,ProductDesigner,大事だよね。,It's important.,0,0,1,0,0,1,1,0,0,0,0,0
50,P50,PB,1,1,ProductDesigner,大事●知りたい●。,Important ● I want to know ●.,0,0,1,0,0,1,1,0,0,0,0,0
51,P51,User,1,1,ProductDesigner,最近、最近ZARAが。,"Recently, recently ZARA.",0,0,1,0,0,0,1,0,0,0,0,0
52,P52,PB,1,1,ProductDesigner,ZARA。ああ。,ZARA. ah.,0,0,1,0,0,0,1,0,0,0,0,0
53,P53,PA,1,1,ProductDesigner,なるほど。,I see.,0,0,1,0,0,0,1,0,0,0,0,0
54,P54,PB,1,1,ProductDesigner,ZARAかっこいいですもんね。分かる。,"ZARA is cool, isn't it? I understand.",0,0,1,0,0,0,1,0,0,0,0,0
55,P55,User,1,1,ProductDesigner,あのー、イギリスの、えーと、何だっけ、キャサリン妃？がZARAの服をよく着ていて。,"Well, the British, uh, what is it, Princess Catherine? was wearing ZARA clothes a lot.",0,0,1,0,0,0,1,0,0,0,0,0
56,P56,PA,1,1,ProductDesigner,へー。,Heh.,0,0,1,0,0,0,1,0,0,0,0,0
57,P57,PC,1,1,ProductDesigner,皇室が？ ファストファッション？,The Imperial Family? Do they use the fast fashon?,0,0,1,0,0,0,1,0,0,0,0,0
58,P58,PA,1,1,ProductDesigner,へー。,Heh.,0,0,1,0,0,0,1,0,0,0,0,0
59,P59,PB,1,1,ProductDesigner,すごい、そうなんだ。,"Wow, yes.",0,0,1,0,0,0,1,0,0,0,0,0
60,P60,PA,1,1,ProductDesigner,意外。,Surprising.,0,0,1,0,0,0,1,0,0,0,0,0
61,P61,PC,1,1,ProductDesigner,ちょっと好感持てたわ。,I kind of liked that.,0,0,1,0,0,0,1,0,0,0,0,0
62,P62,PA,1,1,ProductDesigner,●ってた。確かに。,I was. Indeed.,0,0,1,0,0,0,1,0,0,0,0,0
63,P63,PC,1,1,ProductDesigner,イギリス良い国だわ。,England is good.,0,0,1,0,0,0,1,0,0,0,0,0
64,P64,PB,1,1,ProductDesigner,●何色が好きとかありますか。,Do you have a favorite color?,0,0,1,0,0,0,1,0,0,0,0,0
65,P65,User,1,1,ProductDesigner,好きな色……。好きな色は、えっと、青が好きです。,"Favorite color: ....... My favorite color is, um, blue.",0,0,1,0,0,0,1,0,0,0,0,0
66,P66,PB,1,1,ProductDesigner,青。,Blue.,0,0,1,0,0,0,1,0,0,0,0,0
67,P67,PA,1,1,ProductDesigner,ふーん、なるほど。お部屋はどんな感じですか。きれいですか。,"Hmmm, I see. What are the rooms like? Is it clean?",0,0,1,0,0,0,1,0,0,0,0,0
68,P68,PC,1,1,ProductDesigner,その聞きかたは．．．。,Your question is…,0,0,1,0,0,0,1,0,0,0,0,0
69,P69,User,1,1,ProductDesigner,その質問すごい、あのー、核心を。,"That question is so, um, ...critical.",0,0,1,0,0,0,1,0,0,0,0,0
70,P70,PA,1,1,ProductDesigner,私、だって、汚いからさ。,"Me, because, you know, (my room is) messy.",0,0,1,0,0,0,1,0,0,0,0,0
71,P71,User,1,1,ProductDesigner,そう、何だろう、創造性にあふれた部屋だと思います。,"So, what I can say... my room looks like full of creativity.",0,0,1,0,0,0,1,0,0,0,0,0
72,P72,PA,1,1,ProductDesigner,創造性にあふれた部屋。難しい回答だな。,A room full of creativity. Difficult answer.,0,0,1,0,0,0,1,0,0,0,0,0
73,P73,User,1,1,ProductDesigner,ま、ぐちゃぐちゃしてるって●。,"Well, they say it's messy.",0,0,1,0,0,0,1,0,0,0,0,0
74,P74,PA,1,1,ProductDesigner,あの、いつも持つものって多いほうですか、少ないですか。,"Um, do you always have more or less?",0,0,1,0,0,0,1,0,0,0,0,0
