"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Engineer Phase1 - ProductDesigner Phase1",0.36978216298205,0.115142138324558,28,3.21152766800041,0.0687268363040865
"2","Engineer Phase1 - ServiceDesigner Phase1",0.28188103109438,0.112850408105602,28,2.49782908033974,0.27515592191452
"3","Engineer Phase1 - Engineer Phase2",-0.519643734242785,0.110008565201354,28,-4.72366613719264,0.00167687025056751
"4","Engineer Phase1 - ProductDesigner Phase2",-0.149861571260735,0.155354942195373,28,-0.96463987011286,0.986228565415832
"5","Engineer Phase1 - ServiceDesigner Phase2",-0.237762703148405,0.153767119911162,28,-1.54625191188968,0.824218194596228
"6","Engineer Phase1 - Engineer Phase3",-0.88763927362166,0.112850408105602,28,-7.86562750212682,4.76990193010174e-07
"7","Engineer Phase1 - ProductDesigner Phase3",-0.51785711063961,0.16109222394255,28,-3.21466237143943,0.0682585712125939
"8","Engineer Phase1 - ServiceDesigner Phase3",-0.605758242527279,0.155677343711017,28,-3.89111368480018,0.0140609353987674
"9","ProductDesigner Phase1 - ServiceDesigner Phase1",-0.0879011318876696,0.110008565201354,28,-0.79903898143549,0.995984899892553
"10","ProductDesigner Phase1 - Engineer Phase2",-0.889425897224835,0.163046112516359,28,-5.45505736688815,0.000242482023998791
"11","ProductDesigner Phase1 - ProductDesigner Phase2",-0.519643734242785,0.110008565201354,28,-4.72366613719264,0.00167687025056751
"12","ProductDesigner Phase1 - ServiceDesigner Phase2",-0.607544866130455,0.155677343711017,28,-3.9025901370609,0.0136690584801407
"13","ProductDesigner Phase1 - Engineer Phase3",-1.25742143660371,0.161354109462228,28,-7.79293096900059,5.70923683995694e-07
"14","ProductDesigner Phase1 - ProductDesigner Phase3",-0.88763927362166,0.112850408105602,28,-7.86562750212682,4.76990193010174e-07
"15","ProductDesigner Phase1 - ServiceDesigner Phase3",-0.975540405509329,0.153767119911162,28,-6.34427181879285,2.31140659683327e-05
"16","ServiceDesigner Phase1 - Engineer Phase2",-0.801524765337166,0.161337754071232,28,-4.96799258147158,0.000881667256945495
"17","ServiceDesigner Phase1 - ProductDesigner Phase2",-0.431742602355116,0.155473799483142,28,-2.77694765156833,0.167246832054797
"18","ServiceDesigner Phase1 - ServiceDesigner Phase2",-0.519643734242785,0.110008565201354,28,-4.72366613719264,0.00167687025056751
"19","ServiceDesigner Phase1 - Engineer Phase3",-1.16952030471604,0.163417939937712,28,-7.15662126913246,2.82603320167496e-06
"20","ServiceDesigner Phase1 - ProductDesigner Phase3",-0.79973814173399,0.161337754071232,28,-4.95691877166519,0.000907824102762134
"21","ServiceDesigner Phase1 - ServiceDesigner Phase3",-0.88763927362166,0.112850408105602,28,-7.86562750212682,4.76990193010174e-07
"22","Engineer Phase2 - ProductDesigner Phase2",0.36978216298205,0.115142138324558,28,3.21152766800041,0.0687268363040865
"23","Engineer Phase2 - ServiceDesigner Phase2",0.28188103109438,0.112850408105602,28,2.49782908033974,0.27515592191452
"24","Engineer Phase2 - Engineer Phase3",-0.367995539378875,0.115142138324558,28,-3.19601098897071,0.0710868190410643
"25","Engineer Phase2 - ProductDesigner Phase3",0.00178662360317544,0.166426080871335,28,0.0107352380938219,1
"26","Engineer Phase2 - ServiceDesigner Phase3",-0.0861145082844942,0.16109222394255,28,-0.534566512131616,0.999772255222829
"27","ProductDesigner Phase2 - ServiceDesigner Phase2",-0.0879011318876696,0.110008565201354,28,-0.79903898143549,0.995984899892553
"28","ProductDesigner Phase2 - Engineer Phase3",-0.737777702360924,0.159164090414939,28,-4.63532760711004,0.00211273394988709
"29","ProductDesigner Phase2 - ProductDesigner Phase3",-0.367995539378875,0.115142138324558,28,-3.19601098897071,0.0710868190410643
"30","ProductDesigner Phase2 - ServiceDesigner Phase3",-0.455896671266544,0.155354942195373,28,-2.93454887771265,0.122898958691085
"31","ServiceDesigner Phase2 - Engineer Phase3",-0.649876570473255,0.161354109462228,28,-4.02764189049295,0.0100215132262701
"32","ServiceDesigner Phase2 - ProductDesigner Phase3",-0.280094407491205,0.163046112516359,28,-1.71788461048467,0.731125775993953
"33","ServiceDesigner Phase2 - ServiceDesigner Phase3",-0.367995539378875,0.115142138324558,28,-3.19601098897071,0.0710868190410643
"34","Engineer Phase3 - ProductDesigner Phase3",0.36978216298205,0.115142138324558,28,3.21152766800041,0.0687268363040865
"35","Engineer Phase3 - ServiceDesigner Phase3",0.28188103109438,0.112850408105602,28,2.49782908033974,0.27515592191452
"36","ProductDesigner Phase3 - ServiceDesigner Phase3",-0.0879011318876696,0.110008565201354,28,-0.79903898143549,0.995984899892553
