"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Engineer Phase1 - ProductDesigner Phase1",0.0804968702132009,0.12417278502244,28,0.648264997830673,0.999068285298743
"2","Engineer Phase1 - ServiceDesigner Phase1",0.523589612583385,0.121701313431338,28,4.30225112466666,0.0050012776713414
"3","Engineer Phase1 - Engineer Phase2",-0.466701560628084,0.118636583583938,28,-3.93387559325561,0.0126528984297541
"4","Engineer Phase1 - ProductDesigner Phase2",-0.386204690414883,0.167539496140182,28,-2.30515609341299,0.372438776421294
"5","Engineer Phase1 - ServiceDesigner Phase2",0.0568880519553013,0.165827140281415,28,0.343056340830339,0.999992226209072
"6","Engineer Phase1 - Engineer Phase3",-0.884323697003675,0.121701313431338,28,-7.26634472603777,2.13802301862742e-06
"7","Engineer Phase1 - ProductDesigner Phase3",-0.803826826790474,0.173726755325844,28,-4.62696045455293,0.00215938065742138
"8","Engineer Phase1 - ServiceDesigner Phase3",-0.360734084420289,0.16788718374331,28,-2.14866957904203,0.463202903888994
"9","ProductDesigner Phase1 - ServiceDesigner Phase1",0.443092742370184,0.118636583583938,28,3.7348744289883,0.0205760444553521
"10","ProductDesigner Phase1 - Engineer Phase2",-0.547198430841285,0.175833888208416,28,-3.11201917000601,0.0851400246872697
"11","ProductDesigner Phase1 - ProductDesigner Phase2",-0.466701560628084,0.118636583583938,28,-3.93387559325561,0.0126528984297541
"12","ProductDesigner Phase1 - ServiceDesigner Phase2",-0.0236088182578996,0.167887183743309,28,-0.140623112089343,0.999999993140904
"13","ProductDesigner Phase1 - Engineer Phase3",-0.964820567216876,0.174009180637799,28,-5.54465324002158,0.000191146985739854
"14","ProductDesigner Phase1 - ProductDesigner Phase3",-0.884323697003675,0.121701313431338,28,-7.26634472603777,2.13802301862742e-06
"15","ProductDesigner Phase1 - ServiceDesigner Phase3",-0.44123095463349,0.165827140281415,28,-2.66078854091499,0.207381650404938
"16","ServiceDesigner Phase1 - Engineer Phase2",-0.990291173211469,0.173991542486557,28,-5.69160523011044,0.000129418578490137
"17","ServiceDesigner Phase1 - ProductDesigner Phase2",-0.909794302998268,0.167667675455394,28,-5.42617591928331,0.000261808293472665
"18","ServiceDesigner Phase1 - ServiceDesigner Phase2",-0.466701560628084,0.118636583583938,28,-3.93387559325561,0.0126528984297541
"19","ServiceDesigner Phase1 - Engineer Phase3",-1.40791330958706,0.176234878211981,28,-7.98884604382101,3.52219952648447e-07
"20","ServiceDesigner Phase1 - ProductDesigner Phase3",-1.32741643937386,0.173991542486557,28,-7.62920093932968,8.57826903066794e-07
"21","ServiceDesigner Phase1 - ServiceDesigner Phase3",-0.884323697003675,0.121701313431338,28,-7.26634472603777,2.13802301862742e-06
"22","Engineer Phase2 - ProductDesigner Phase2",0.0804968702132009,0.12417278502244,28,0.648264997830673,0.999068285298743
"23","Engineer Phase2 - ServiceDesigner Phase2",0.523589612583385,0.121701313431338,28,4.30225112466666,0.0050012776713414
"24","Engineer Phase2 - Engineer Phase3",-0.417622136375591,0.12417278502244,28,-3.36323403151599,0.0490752977242012
"25","Engineer Phase2 - ProductDesigner Phase3",-0.33712526616239,0.179478948913665,28,-1.87835547401471,0.632915418515662
"26","Engineer Phase2 - ServiceDesigner Phase3",0.105967476207794,0.173726755325844,28,0.609966357853402,0.999399618275736
"27","ProductDesigner Phase2 - ServiceDesigner Phase2",0.443092742370184,0.118636583583938,28,3.7348744289883,0.0205760444553521
"28","ProductDesigner Phase2 - Engineer Phase3",-0.498119006588792,0.171647397468656,28,-2.90198985789896,0.131166095045991
"29","ProductDesigner Phase2 - ProductDesigner Phase3",-0.417622136375591,0.12417278502244,28,-3.36323403151599,0.0490752977242012
"30","ProductDesigner Phase2 - ServiceDesigner Phase3",0.0254706059945935,0.167539496140182,28,0.15202747161948,0.999999987245121
"31","ServiceDesigner Phase2 - Engineer Phase3",-0.941211748958976,0.174009180637799,28,-5.40897753503081,0.000274040422755806
"32","ServiceDesigner Phase2 - ProductDesigner Phase3",-0.860714878745775,0.175833888208416,28,-4.89504547454224,0.00106875547682883
"33","ServiceDesigner Phase2 - ServiceDesigner Phase3",-0.417622136375591,0.12417278502244,28,-3.36323403151599,0.0490752977242012
"34","Engineer Phase3 - ProductDesigner Phase3",0.0804968702132009,0.12417278502244,28,0.648264997830673,0.999068285298743
"35","Engineer Phase3 - ServiceDesigner Phase3",0.523589612583385,0.121701313431338,28,4.30225112466666,0.0050012776713414
"36","ProductDesigner Phase3 - ServiceDesigner Phase3",0.443092742370184,0.118636583583938,28,3.7348744289883,0.0205760444553521
