"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Engineer Phase1 - ProductDesigner Phase1",0.446035816142217,0.122956102982436,28,3.62760208987701,0.0265948692748134
"2","Engineer Phase1 - ServiceDesigner Phase1",-0.243527901509732,0.120508847608251,28,-2.0208300580667,0.542594491120077
"3","Engineer Phase1 - Engineer Phase2",0.244865575659445,0.117474146899378,28,2.08442097365629,0.502696025716483
"4","Engineer Phase1 - ProductDesigner Phase2",0.690901391801662,0.165897894110331,28,4.16461821596227,0.00710026403747743
"5","Engineer Phase1 - ServiceDesigner Phase2",0.00133767414971253,0.164202316425775,28,0.00814649987180423,1
"6","Engineer Phase1 - Engineer Phase3",0.179722323488178,0.120508847608251,28,1.49136206224806,0.850167003481392
"7","Engineer Phase1 - ProductDesigner Phase3",0.625758139630396,0.17202452868226,28,3.6376099642523,0.025970448289743
"8","Engineer Phase1 - ServiceDesigner Phase3",-0.0638055780215536,0.166242174966463,28,-0.383811015672922,0.99998148909467
"9","ProductDesigner Phase1 - ServiceDesigner Phase1",-0.689563717651949,0.117474146899378,28,-5.86991892133161,8.06817010610139e-05
"10","ProductDesigner Phase1 - Engineer Phase2",-0.201170240482773,0.174111015247415,28,-1.15541363191126,0.959411423211021
"11","ProductDesigner Phase1 - ProductDesigner Phase2",0.244865575659445,0.117474146899378,28,2.08442097365629,0.502696025716483
"12","ProductDesigner Phase1 - ServiceDesigner Phase2",-0.444698141992505,0.166242174966463,28,-2.67500194870656,0.202112141290861
"13","ProductDesigner Phase1 - Engineer Phase3",-0.266313492654039,0.172304186706644,28,-1.54560082226818,0.824538115532529
"14","ProductDesigner Phase1 - ProductDesigner Phase3",0.179722323488178,0.120508847608251,28,1.49136206224806,0.850167003481392
"15","ProductDesigner Phase1 - ServiceDesigner Phase3",-0.509841394163771,0.164202316425775,28,-3.10495859779321,0.0864248319904279
"16","ServiceDesigner Phase1 - Engineer Phase2",0.488393477169176,0.172286721379276,28,2.83477143948903,0.149682124538916
"17","ServiceDesigner Phase1 - ProductDesigner Phase2",0.934429293311394,0.166024817486323,28,5.62825068841514,0.000153108045952255
"18","ServiceDesigner Phase1 - ServiceDesigner Phase2",0.244865575659445,0.117474146899378,28,2.08442097365629,0.502696025716483
"19","ServiceDesigner Phase1 - Engineer Phase3",0.42325022499791,0.174508076231143,28,2.42539046982157,0.309626061158251
"20","ServiceDesigner Phase1 - ProductDesigner Phase3",0.869286041140128,0.172286721379276,28,5.04557771011534,0.000718220720446805
"21","ServiceDesigner Phase1 - ServiceDesigner Phase3",0.179722323488178,0.120508847608251,28,1.49136206224806,0.850167003481392
"22","Engineer Phase2 - ProductDesigner Phase2",0.446035816142217,0.122956102982436,28,3.62760208987701,0.0265948692748134
"23","Engineer Phase2 - ServiceDesigner Phase2",-0.243527901509732,0.120508847608251,28,-2.0208300580667,0.542594491120077
"24","Engineer Phase2 - Engineer Phase3",-0.0651432521712662,0.122956102982436,28,-0.529809017943353,0.99978689133572
"25","Engineer Phase2 - ProductDesigner Phase3",0.380892563970951,0.177720360559037,28,2.1432128697737,0.466516405326899
"26","Engineer Phase2 - ServiceDesigner Phase3",-0.308671153680998,0.17202452868226,28,-1.79434384180835,0.685226896908515
"27","ProductDesigner Phase2 - ServiceDesigner Phase2",-0.689563717651949,0.117474146899378,28,-5.86991892133161,8.06817010610139e-05
"28","ProductDesigner Phase2 - Engineer Phase3",-0.511179068313484,0.169965544994494,28,-3.00754525471644,0.105933858996799
"29","ProductDesigner Phase2 - ProductDesigner Phase3",-0.0651432521712662,0.122956102982436,28,-0.529809017943353,0.99978689133572
"30","ProductDesigner Phase2 - ServiceDesigner Phase3",-0.754706969823216,0.165897894110331,28,-4.54922573834058,0.00264400567306811
"31","ServiceDesigner Phase2 - Engineer Phase3",0.178384649338466,0.172304186706644,28,1.03528911715984,0.978690688435096
"32","ServiceDesigner Phase2 - ProductDesigner Phase3",0.624420465480683,0.174111015247415,28,3.58633521603081,0.029320270938343
"33","ServiceDesigner Phase2 - ServiceDesigner Phase3",-0.0651432521712662,0.122956102982436,28,-0.529809017943353,0.99978689133572
"34","Engineer Phase3 - ProductDesigner Phase3",0.446035816142217,0.122956102982436,28,3.62760208987701,0.0265948692748134
"35","Engineer Phase3 - ServiceDesigner Phase3",-0.243527901509732,0.120508847608251,28,-2.0208300580667,0.542594491120077
"36","ProductDesigner Phase3 - ServiceDesigner Phase3",-0.689563717651949,0.117474146899378,28,-5.86991892133161,8.06817010610139e-05
