"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Engineer Phase1 - ProductDesigner Phase1",-0.375906336476093,0.0667181433212345,28,-5.6342445662221,0.000150691949261539
"2","Engineer Phase1 - ServiceDesigner Phase1",-0.0329346126535081,0.0653902195269852,28,-0.503662671447626,0.999853918717377
"3","Engineer Phase1 - Engineer Phase2",0.234696896891784,0.0637435375655333,28,3.68189319035671,0.023368270314824
"4","Engineer Phase1 - ProductDesigner Phase2",-0.141209439584309,0.0900191141998468,28,-1.56866062101896,0.813037258937038
"5","Engineer Phase1 - ServiceDesigner Phase2",0.201762284238276,0.0890990639361634,28,2.26447142455764,0.395151219825126
"6","Engineer Phase1 - Engineer Phase3",0.140087495340984,0.0653902195269852,28,2.14233101455139,0.467052674514539
"7","Engineer Phase1 - ProductDesigner Phase3",-0.235818841135109,0.0933435338384982,28,-2.52635433262168,0.26231032181884
"8","Engineer Phase1 - ServiceDesigner Phase3",0.107152882687476,0.0902059270456107,28,1.18786964667295,0.952583554422029
"9","ProductDesigner Phase1 - ServiceDesigner Phase1",0.342971723822585,0.0637435375655333,28,5.38049403784632,0.000295567570409494
"10","ProductDesigner Phase1 - Engineer Phase2",0.610603233367877,0.0944756981338462,28,6.46307193732318,1.69383609841534e-05
"11","ProductDesigner Phase1 - ProductDesigner Phase2",0.234696896891784,0.0637435375655333,28,3.68189319035671,0.023368270314824
"12","ProductDesigner Phase1 - ServiceDesigner Phase2",0.577668620714369,0.0902059270456107,28,6.40388763392768,1.97729866100449e-05
"13","ProductDesigner Phase1 - Engineer Phase3",0.515993831817077,0.0934952811995416,28,5.51892913949123,0.000204657674848341
"14","ProductDesigner Phase1 - ProductDesigner Phase3",0.140087495340984,0.0653902195269852,28,2.14233101455139,0.467052674514539
"15","ProductDesigner Phase1 - ServiceDesigner Phase3",0.483059219163569,0.0890990639361634,28,5.42159701598734,0.000265010653448416
"16","ServiceDesigner Phase1 - Engineer Phase2",0.267631509545292,0.0934858042058323,28,2.86280373602001,0.14171772898214
"17","ServiceDesigner Phase1 - ProductDesigner Phase2",-0.108274826930801,0.0900879850552568,28,-1.20187866189247,0.94940515478517
"18","ServiceDesigner Phase1 - ServiceDesigner Phase2",0.234696896891784,0.0637435375655333,28,3.68189319035671,0.023368270314824
"19","ServiceDesigner Phase1 - Engineer Phase3",0.173022107994492,0.0946911504048357,28,1.82722574659581,0.664931872335224
"20","ServiceDesigner Phase1 - ProductDesigner Phase3",-0.202884228481601,0.0934858042058323,28,-2.17021429301609,0.450204210127143
"21","ServiceDesigner Phase1 - ServiceDesigner Phase3",0.140087495340984,0.0653902195269852,28,2.14233101455139,0.467052674514539
"22","Engineer Phase2 - ProductDesigner Phase2",-0.375906336476093,0.0667181433212345,28,-5.6342445662221,0.000150691949261539
"23","Engineer Phase2 - ServiceDesigner Phase2",-0.0329346126535081,0.0653902195269852,28,-0.503662671447626,0.999853918717377
"24","Engineer Phase2 - Engineer Phase3",-0.0946094015508,0.0667181433212346,28,-1.41804607923926,0.881420449461589
"25","Engineer Phase2 - ProductDesigner Phase3",-0.470515738026893,0.0964341923602859,28,-4.87913805788935,0.00111450286421744
"26","Engineer Phase2 - ServiceDesigner Phase3",-0.127544014204308,0.0933435338384982,28,-1.36639367462757,0.900973412484387
"27","ProductDesigner Phase2 - ServiceDesigner Phase2",0.342971723822585,0.0637435375655333,28,5.38049403784632,0.000295567570409494
"28","ProductDesigner Phase2 - Engineer Phase3",0.281296934925293,0.0922262930879831,28,3.0500730920296,0.096996913745266
"29","ProductDesigner Phase2 - ProductDesigner Phase3",-0.0946094015508,0.0667181433212346,28,-1.41804607923926,0.881420449461589
"30","ProductDesigner Phase2 - ServiceDesigner Phase3",0.248362322271785,0.0900191141998469,28,2.75899540313636,0.173019728060738
"31","ServiceDesigner Phase2 - Engineer Phase3",-0.0616747888972919,0.0934952811995416,28,-0.659656702520237,0.998944572318712
"32","ServiceDesigner Phase2 - ProductDesigner Phase3",-0.437581125373385,0.0944756981338462,28,-4.63167919387536,0.00213295078025488
"33","ServiceDesigner Phase2 - ServiceDesigner Phase3",-0.0946094015508,0.0667181433212346,28,-1.41804607923926,0.881420449461589
"34","Engineer Phase3 - ProductDesigner Phase3",-0.375906336476093,0.0667181433212345,28,-5.6342445662221,0.000150691949261539
"35","Engineer Phase3 - ServiceDesigner Phase3",-0.0329346126535081,0.0653902195269852,28,-0.503662671447626,0.999853918717377
"36","ProductDesigner Phase3 - ServiceDesigner Phase3",0.342971723822585,0.0637435375655333,28,5.38049403784632,0.000295567570409494
